1521663771828;-19.86958521743832;-43.964550878800566
1521663787938;-19.869699937029647;-43.964823085818615
1521663788952;-19.869617916773638;-43.96474983951683
1521663789952;-19.86959585773182;-43.964705708172225
1521663790943;-19.869609335106663;-43.96467583609537
1521663791936;-19.86963054468629;-43.96466215162733
1521663792944;-19.869653114699478;-43.96463230128604
1521663793948;-19.86966575906369;-43.964597938140116
1521663794937;-19.869675165541913;-43.964578569005276
1521663795953;-19.869669954212235;-43.96456555786536
1521663796943;-19.869660479181267;-43.9645606009978
1521663797957;-19.869654367998706;-43.9645557199157
1521663798965;-19.869653190482605;-43.964552034947445
1521663799961;-19.86965139036537;-43.96455248240777
1521663800944;-19.869654795202226;-43.96455142306876
