1521502502373;-19.937289104892514;-43.97711076129941
1521502513558;-19.937255929979663;-43.977277593858034
1521502514535;-19.9372348128448;-43.97719046207487
1521502515531;-19.93721663730032;-43.977191110198305
1521502516959;-19.937189701411285;-43.97720567492893
1521502517985;-19.937177986361;-43.97720954815913
1521502518983;-19.93717524018447;-43.977205191936065
1521502519976;-19.937173657280923;-43.977197539230055
1521502520966;-19.937174256875977;-43.977196103247906
1521502521987;-19.937176033564224;-43.977199141768125
1521502522975;-19.937179923291705;-43.97720059290545
1521502523993;-19.93718243785038;-43.97720077262778
1521502524975;-19.937186062539332;-43.97719973306005
1521502525975;-19.93718837097409;-43.97719984750812
1521502526974;-19.93719234519693;-43.977201194117704
1521502527975;-19.937198521807243;-43.97720009601889
1521502528987;-19.93720620056363;-43.977202969293316
1521502529981;-19.937213279123704;-43.977202147777064
1521502530977;-19.937219852290053;-43.97720124069919
1521502531975;-19.93722417283985;-43.97719935328497
1521502532964;-19.93722692088879;-43.97719952871355
1521502536999;-19.937255517662347;-43.97720415191784
1521502538996;-19.937276914996026;-43.97721044460153
1521502539984;-19.93728768941592;-43.97721249477685
1521502541035;-19.937296347855206;-43.97721233434722
1521502541996;-19.937306416974526;-43.97721257739859
1521502542994;-19.937317338021536;-43.97721299262481
1521502543983;-19.937326135001715;-43.9772147669288
1521502545025;-19.93733363028526;-43.9772177332688
1521502547039;-19.93732920064968;-43.977218802181596
1521502553030;-19.937322555169057;-43.97720908334609
